DateTime,lp_value,validation_status,dayType,season
2021-01-06 01:00:00,0.123,VAL,Weekday,Winter
2021-01-05 22:00:00,0.276,VAL,Weekday,Winter
2021-01-04 17:00:00,0.189,VAL,Weekday,Winter
2020-12-28 17:00:00,0.323,VAL,Weekday,Winter
2021-01-04 07:00:00,0.486,VAL,Weekday,Winter
2021-01-05 09:00:00,0.129,VAL,Weekday,Winter
2021-01-06 18:00:00,0.68,VAL,Weekday,Winter
2021-01-05 16:00:00,0.705,VAL,Weekday,Winter
2021-01-03 15:00:00,0.669,VAL,Weekend,Winter
2021-01-05 03:00:00,0.116,VAL,Weekday,Winter
2020-12-29 03:00:00,0.136,VAL,Weekday,null
2021-01-04 06:00:00,0.591,VAL,Weekday,Winter
2021-01-03 20:00:00,2.452,VAL,Weekend,Winter
2021-01-06 07:00:00,0.506,VAL,Weekday,Winter
2021-01-05 15:00:00,0.469,VAL,Weekday,Winter
2021-01-06 19:00:00,0.813,VAL,Weekday,Winter
2021-01-04 11:00:00,2.038,VAL,Weekday,Winter
2021-01-05 21:00:00,0.518,VAL,Weekday,Winter
2021-01-04 18:00:00,0.087,VAL,Weekday,Winter
2020-12-28 18:00:00,0.234,VAL,Weekday,Winter
2020-12-28 23:00:00,0.181,VAL,Weekday,Winter
2021-01-03 14:00:00,0.624,VAL,Weekend,Winter
2021-01-04 23:00:00,0.108,VAL,Weekday,Winter
2021-01-03 09:00:00,0.483,VAL,null,Winter
2021-01-01 15:00:00,1.623,VAL,Holiday,Winter
2020-12-31 02:00:00,0.265,VAL,Weekday,Winter
2020-12-31 15:00:00,3.268,VAL,Weekday,Winter
2021-01-01 05:00:00,0.028,VAL,Holiday,Winter
2020-12-31 05:00:00,0.208,VAL,Weekday,Winter
2020-12-29 20:00:00,1.934,VAL,Weekday,Winter
2020-12-31 22:00:00,0.023,VAL,Weekday,Winter
2020-12-29 10:00:00,0.875,VAL,Weekday,Winter
2021-01-01 02:00:00,0.165,VAL,Holiday,Winter
2021-01-01 12:00:00,0.524,VAL,Holiday,Winter
2021-01-01 22:00:00,0.49,VAL,Holiday,Winter
2020-12-31 12:00:00,3.123,VAL,Weekday,Winter
2020-12-29 18:00:00,1.397,VAL,Weekday,Winter
2020-12-29 08:00:00,2.611,VAL,Weekday,Winter
2020-12-30 22:00:00,0.568,VAL,Weekday,Winter
2020-12-29 23:00:00,0.239,VAL,Weekday,Winter
2021-01-02 03:00:00,0.214,VAL,Weekend,Winter
2020-12-30 17:00:00,0.248,VAL,Weekday,Winter
2020-12-29 05:00:00,0.546,VAL,Weekday,Winter
2021-01-02 00:00:00,0.373,VAL,Weekend,Winter
2020-12-30 02:00:00,0.263,VAL,Weekday,Winter
2021-01-01 18:00:00,2.436,VAL,Holiday,Winter
2020-12-30 14:00:00,0.427,VAL,Weekday,Winter
2020-12-31 18:00:00,1.988,VAL,Weekday,Winter
2020-12-31 20:00:00,0.622,VAL,Weekday,Winter
2020-12-31 10:00:00,0.562,VAL,Weekday,Winter
2020-12-31 17:00:00,2.2,VAL,Weekday,Winter
2020-12-30 18:00:00,0.151,VAL,Weekday,Winter
2020-12-29 19:00:00,1.849,VAL,Weekday,Winter
2021-01-01 10:00:00,1.378,VAL,Holiday,Winter
2020-12-29 12:00:00,0.35,VAL,Weekday,Winter
2020-12-30 11:00:00,1.087,VAL,Weekday,Winter
2021-01-01 20:00:00,0.497,VAL,Holiday,Winter
2020-12-29 06:00:00,0.326,VAL,Weekday,Winter
2020-12-31 04:00:00,0.545,VAL,Weekday,Winter
2021-01-01 04:00:00,0.25,VAL,Holiday,Winter
2020-12-30 08:00:00,0.266,VAL,Weekday,Winter
2021-01-01 17:00:00,1.684,VAL,Holiday,Winter
2020-12-29 13:00:00,1.209,VAL,Weekday,Winter
2020-12-30 19:00:00,1.395,VAL,Weekday,Winter
2021-01-01 16:00:00,1.195,VAL,Holiday,Winter
2020-12-31 16:00:00,2.265,VAL,Weekday,Winter
2020-12-30 07:00:00,0.168,VAL,Weekday,Winter
2021-01-01 21:00:00,0.416,VAL,Holiday,Winter
2020-12-31 21:00:00,0.215,VAL,Weekday,Winter
2020-12-30 12:00:00,1.022,VAL,Weekday,Winter
2020-12-29 07:00:00,0.455,VAL,Weekday,Winter
2020-12-30 01:00:00,0.034,VAL,Weekday,Winter
2021-01-02 02:00:00,0.355,VAL,Weekend,Winter
2020-12-29 04:00:00,0.169,VAL,Weekday,Winter
